inspection_id,batch_id,machine_id,line_id,factory_id,product_id,supplier_id,operator_id,inspection_date,inspector_id,sample_size,passed_samples,failed_samples,defect_type,defect_severity,measured_dimension_mm,inspection_result,estimated_quality_loss_inr
QIN000021,BAT028556,MCH0061,LIN026,FAC009,PRD0001,SUP0143,OPR0577,2023-02-25,INS006,95,89,6,Packaging Damage,Major,50.252,Fail,18233.44
QIN000022,BAT007257,MCH0472,LIN011,FAC004,PRD0025,SUP0074,OPR0134,2025-03-26,INS012,179,173,6,Packaging Damage,Critical,50.759,Fail,7201.69
QIN000023,BAT038252,MCH0210,LIN004,FAC002,PRD0010,SUP0035,OPR0846,2024-09-11,INS042,83,70,13,Porosity,Major,50.703,Fail,11891.17
QIN000024,BAT055570,MCH0090,LIN018,FAC006,PRD0108,SUP0110,OPR0128,2023-01-16,INS067,170,146,24,Dimensional Error,Minor,51.456,Fail,55961.37
QIN000025,BAT018881,MCH0318,LIN006,FAC002,PRD0047,SUP0164,OPR0427,2023-05-14,INS075,241,216,25,Surface Crack,Major,48.498,Fail,25439.93
QIN000026,BAT049144,MCH0200,LIN004,FAC002,PRD0132,SUP0006,OPR0497,2025-10-13,INS090,198,172,26,Porosity,Minor,49.477,Fail,38257.24
QIN000027,BAT007826,MCH0497,LIN029,FAC010,PRD0037,SUP0032,OPR0872,2025-02-03,INS060,120,106,14,Electrical Failure,Minor,51.587,Fail,26650.05
QIN000028,BAT028211,MCH0331,LIN012,FAC004,PRD0115,SUP0151,OPR0827,2023-07-19,INS075,150,138,12,Packaging Damage,Major,49.88,Fail,10040.27
QIN000029,BAT029862,MCH0424,LIN022,FAC008,PRD0120,SUP0092,OPR0253,2024-12-03,INS028,124,111,13,Discoloration,Minor,50.4,Fail,30741.51
QIN000030,BAT059774,MCH0556,LIN013,FAC005,PRD0107,SUP0194,OPR0946,2024-07-31,INS066,37,34,3,Misalignment,Major,51.151,Fail,10301.03
QIN000031,BAT022179,MCH0496,LIN024,FAC008,PRD0003,SUP0011,OPR0926,2024-10-03,INS041,228,217,11,Misalignment,Minor,50.314,Pass,395.93
QIN000032,BAT004803,MCH0127,LIN004,FAC002,PRD0138,SUP0097,OPR0808,2024-06-27,INS052,109,102,7,Misalignment,Major,50.986,Fail,12742.74
QIN000033,BAT036989,MCH0116,LIN010,FAC004,PRD0043,SUP0116,OPR0030,2024-06-10,INS016,70,66,4,Burr,Minor,50.485,Fail,5996.04
QIN000034,BAT038884,MCH0054,LIN006,FAC002,PRD0002,SUP0183,OPR0089,2024-08-31,INS040,152,135,17,Electrical Failure,Minor,50.11,Fail,59771.43
QIN000035,BAT016825,MCH0545,LIN004,FAC002,PRD0083,SUP0191,OPR0380,2023-04-25,INS020,188,169,19,Misalignment,Minor,49.769,Fail,17518.09
QIN000036,BAT028948,MCH0497,LIN029,FAC010,PRD0089,SUP0132,OPR0095,2024-04-29,INS053,96,91,5,Burr,Minor,50.418,Fail,33869.5
QIN000037,BAT027115,MCH0467,LIN027,FAC009,PRD0003,SUP0011,OPR0937,2023-01-27,INS058,243,217,26,Packaging Damage,Major,48.683,Fail,1709.52
QIN000038,BAT045864,MCH0240,LIN015,FAC005,PRD0043,SUP0116,OPR0450,2023-07-11,INS017,222,208,14,Porosity,Major,48.887,Fail,25911.06
QIN000039,BAT007929,MCH0580,LIN007,FAC003,PRD0007,SUP0078,OPR0592,2024-06-09,INS024,123,115,8,Misalignment,Minor,49.958,Fail,5373.87
QIN000040,BAT047100,MCH0173,LIN020,FAC007,PRD0108,SUP0110,OPR0264,2025-06-22,INS055,68,64,4,Porosity,Minor,49.568,Fail,19296.31
QIN000041,BAT000890,MCH0075,LIN003,FAC001,PRD0108,SUP0110,OPR0565,2024-09-03,INS012,38,36,2,Electrical Failure,Minor,49.275,Fail,2330.48
QIN000042,BAT028243,MCH0549,LIN013,FAC005,PRD0035,SUP0182,OPR0911,2024-11-02,INS054,125,119,6,Dimensional Error,Minor,50.089,Pass,2830.69
QIN000043,BAT011943,MCH0368,LIN016,FAC006,PRD0027,SUP0001,OPR0025,2025-04-24,INS026,201,187,14,Dimensional Error,Minor,49.627,Fail,11707.36
QIN000044,BAT024458,MCH0073,LIN002,FAC001,PRD0060,SUP0033,OPR0866,2023-11-24,INS007,220,205,15,Packaging Damage,Critical,50.394,Fail,1275.46
QIN000045,BAT016525,MCH0371,LIN005,FAC002,PRD0133,SUP0051,OPR0346,2023-12-24,INS008,105,100,5,Porosity,Major,50.306,Pass,2039.83
QIN000046,BAT050217,MCH0571,LIN020,FAC007,PRD0063,SUP0068,OPR0774,2024-08-03,INS022,31,31,0,No Defect,,49.985,Pass,0.0
QIN000047,BAT041597,MCH0172,LIN008,FAC003,PRD0102,SUP0052,OPR0328,2023-02-08,INS018,164,150,14,Electrical Failure,Critical,48.968,Fail,2016.01
QIN000048,BAT053487,MCH0552,LIN012,FAC004,PRD0009,SUP0056,OPR0498,2024-06-08,INS081,212,188,24,Surface Crack,Major,50.1,Fail,81202.24
QIN000049,BAT016237,MCH0491,LIN021,FAC007,PRD0053,SUP0092,OPR0196,2024-11-06,INS071,121,110,11,Electrical Failure,Minor,49.582,Fail,23819.11
QIN000050,BAT046752,MCH0138,LIN003,FAC001,PRD0084,SUP0143,OPR0658,2025-03-03,INS025,235,206,29,Surface Crack,Minor,50.057,Fail,19350.56
QIN000051,BAT002128,MCH0220,LIN023,FAC008,PRD0057,SUP0025,OPR0048,2024-10-26,INS030,113,103,10,Packaging Damage,Minor,49.292,Fail,37768.95
QIN000052,BAT050570,MCH0398,LIN029,FAC010,PRD0110,SUP0081,OPR0800,2023-01-23,INS024,134,132,2,Discoloration,Minor,49.867,Pass,879.27
QIN000053,BAT038783,MCH0390,LIN011,FAC004,PRD0083,SUP0191,OPR0325,2025-02-16,INS038,245,230,15,Porosity,Minor,50.872,Fail,3985.71
QIN000054,BAT025918,MCH0026,LIN006,FAC002,PRD0112,SUP0208,OPR0818,2023-07-21,INS040,212,193,19,Packaging Damage,Critical,50.41,Fail,1000.18
QIN000055,BAT010399,MCH0462,LIN016,FAC006,PRD0135,SUP0043,OPR0639,2023-05-29,INS077,86,80,6,Surface Crack,Major,49.644,Fail,4166.89
QIN000056,BAT025247,MCH0599,LIN003,FAC001,PRD0015,SUP0154,OPR0030,2023-09-29,INS023,171,155,16,Packaging Damage,Minor,50.606,Fail,5016.77
QIN000057,BAT040140,MCH0516,LIN030,FAC010,PRD0098,SUP0016,OPR0747,2024-01-14,INS019,187,177,10,Surface Crack,Major,50.056,Fail,13512.52
QIN000058,BAT055791,MCH0016,LIN009,FAC003,PRD0004,SUP0073,OPR0042,2024-12-03,INS035,222,213,9,Porosity,Major,50.158,Pass,415.64
QIN000059,BAT021321,MCH0599,LIN003,FAC001,PRD0085,SUP0095,OPR0696,2025-03-16,INS039,111,100,11,Discoloration,Minor,49.928,Fail,4316.73
QIN000060,BAT030256,MCH0560,LIN024,FAC008,PRD0022,SUP0149,OPR0120,2023-03-22,INS054,86,84,2,Packaging Damage,Minor,49.995,Pass,674.61
QIN000061,BAT032076,MCH0346,LIN015,FAC005,PRD0105,SUP0005,OPR0987,2024-01-07,INS027,190,171,19,Burr,Minor,48.824,Fail,17103.76
QIN000062,BAT021357,MCH0284,LIN006,FAC002,PRD0149,SUP0181,OPR0677,2023-08-13,INS071,234,211,23,Dimensional Error,Minor,50.519,Fail,27752.08
QIN000063,BAT038911,MCH0556,LIN013,FAC005,PRD0117,SUP0115,OPR0249,2024-05-13,INS044,157,134,23,Electrical Failure,Major,49.804,Fail,25557.39
QIN000064,BAT055107,MCH0427,LIN027,FAC009,PRD0035,SUP0182,OPR0618,2024-11-05,INS078,237,221,16,Burr,Critical,51.381,Fail,30774.1
QIN000065,BAT032002,MCH0202,LIN009,FAC003,PRD0140,SUP0056,OPR0269,2025-10-03,INS029,212,182,30,Surface Crack,Major,50.265,Fail,49537.54
QIN000066,BAT028169,MCH0226,LIN027,FAC009,PRD0068,SUP0178,OPR0028,2023-02-04,INS077,242,214,28,Burr,Minor,50.366,Fail,14194.56
QIN000067,BAT031217,MCH0592,LIN023,FAC008,PRD0049,SUP0015,OPR0768,2024-01-22,INS018,41,32,9,Porosity,Minor,50.981,Fail,20537.96
QIN000068,BAT048034,MCH0580,LIN007,FAC003,PRD0058,SUP0107,OPR0225,2025-07-29,INS022,85,85,0,No Defect,,49.89,Pass,0.0
QIN000069,BAT005791,MCH0515,LIN012,FAC004,PRD0019,SUP0048,OPR0450,2024-02-20,INS042,136,116,20,Packaging Damage,Major,51.0,Fail,14834.65
QIN000070,BAT056618,MCH0089,LIN017,FAC006,PRD0089,SUP0132,OPR0094,2024-10-22,INS088,45,38,7,Discoloration,Minor,50.347,Fail,93018.17
QIN000071,BAT015890,MCH0329,LIN014,FAC005,PRD0080,SUP0054,OPR0448,2025-03-02,INS019,218,195,23,Electrical Failure,Minor,50.217,Fail,985.67
QIN000072,BAT048188,MCH0535,LIN025,FAC009,PRD0023,SUP0110,OPR0609,2025-11-11,INS059,203,191,12,Packaging Damage,Minor,48.232,Fail,1967.12
QIN000073,BAT037535,MCH0134,LIN006,FAC002,PRD0134,SUP0049,OPR0582,2023-04-14,INS039,187,179,8,Dimensional Error,Minor,49.984,Pass,1156.78
QIN000074,BAT050998,MCH0582,LIN013,FAC005,PRD0044,SUP0171,OPR0833,2025-12-05,INS044,165,139,26,Dimensional Error,Minor,49.521,Fail,48938.47
QIN000075,BAT051629,MCH0266,LIN021,FAC007,PRD0033,SUP0053,OPR0250,2023-10-17,INS004,97,92,5,Electrical Failure,Minor,50.522,Fail,2616.65
QIN000076,BAT059096,MCH0251,LIN017,FAC006,PRD0119,SUP0079,OPR0884,2024-06-21,INS086,83,78,5,Dimensional Error,Minor,49.011,Fail,2940.03
QIN000077,BAT051727,MCH0211,LIN018,FAC006,PRD0059,SUP0079,OPR0902,2025-04-22,INS059,210,189,21,Misalignment,Minor,50.552,Fail,39443.92
QIN000078,BAT027215,MCH0069,LIN018,FAC006,PRD0119,SUP0079,OPR0445,2025-05-09,INS048,96,88,8,Surface Crack,Major,50.55,Fail,9726.16
QIN000079,BAT019401,MCH0414,LIN017,FAC006,PRD0069,SUP0109,OPR0965,2025-07-19,INS078,248,229,19,Misalignment,Minor,49.358,Fail,8085.76
QIN000080,BAT039034,MCH0029,LIN002,FAC001,PRD0110,SUP0081,OPR0542,2025-04-05,INS047,158,149,9,Dimensional Error,Minor,49.913,Fail,5937.88
QIN000081,BAT041361,MCH0305,LIN003,FAC001,PRD0098,SUP0016,OPR0935,2023-12-12,INS017,210,184,26,Dimensional Error,Major,50.26,Fail,21598.19
QIN000082,BAT026791,MCH0559,LIN019,FAC007,PRD0067,SUP0038,OPR0035,2023-04-08,INS009,118,96,22,Packaging Damage,Minor,49.419,Fail,14245.09
QIN000083,BAT042948,MCH0574,LIN029,FAC010,PRD0090,SUP0102,OPR0151,2023-08-13,INS044,238,213,25,Dimensional Error,Minor,49.189,Fail,15052.04
QIN000084,BAT022030,MCH0526,LIN028,FAC010,PRD0040,SUP0160,OPR0392,2023-10-16,INS061,141,124,17,Discoloration,Minor,51.468,Fail,53911.42
QIN000085,BAT050587,MCH0529,LIN014,FAC005,PRD0092,SUP0205,OPR0439,2026-02-17,INS022,166,148,18,Dimensional Error,Critical,48.872,Fail,3029.47
QIN000086,BAT055638,MCH0279,LIN001,FAC001,PRD0095,SUP0054,OPR0085,2025-08-28,INS009,230,213,17,Electrical Failure,Major,49.087,Fail,3253.87
QIN000087,BAT032316,MCH0207,LIN003,FAC001,PRD0143,SUP0095,OPR0998,2024-11-21,INS074,207,189,18,Burr,Minor,50.551,Fail,2843.09
QIN000088,BAT058601,MCH0389,LIN002,FAC001,PRD0118,SUP0033,OPR0316,2024-05-05,INS046,140,122,18,Discoloration,Major,50.527,Fail,23111.35
QIN000089,BAT004022,MCH0395,LIN004,FAC002,PRD0057,SUP0025,OPR0412,2024-03-15,INS080,63,59,4,Dimensional Error,Minor,49.344,Fail,6134.03
QIN000090,BAT054052,MCH0377,LIN009,FAC003,PRD0054,SUP0156,OPR0030,2026-05-01,INS066,99,94,5,Discoloration,Major,49.565,Fail,6589.86
QIN000091,BAT026877,MCH0299,LIN014,FAC005,PRD0122,SUP0199,OPR0847,2025-04-24,INS049,229,202,27,Packaging Damage,Minor,49.097,Fail,11436.0
QIN000092,BAT019963,MCH0430,LIN016,FAC006,PRD0079,SUP0023,OPR0888,2024-10-05,INS054,117,110,7,Porosity,Minor,50.136,Fail,24443.25
QIN000093,BAT016911,MCH0173,LIN020,FAC007,PRD0077,SUP0057,OPR0006,2024-06-26,INS023,127,111,16,Surface Crack,Minor,49.193,Fail,66094.2
QIN000094,BAT038759,MCH0270,LIN013,FAC005,PRD0026,SUP0022,OPR0800,2023-05-26,INS074,236,215,21,Burr,Minor,49.379,Fail,8241.62
QIN000095,BAT014704,MCH0140,LIN013,FAC005,PRD0066,SUP0061,OPR0871,2024-07-23,INS081,137,117,20,Dimensional Error,Minor,49.396,Fail,20715.9
QIN000096,BAT050785,MCH0531,LIN021,FAC007,PRD0038,SUP0071,OPR0061,2023-08-31,INS033,179,170,9,Burr,Minor,50.347,Fail,5873.55
QIN000097,BAT009806,MCH0561,LIN029,FAC010,PRD0088,SUP0146,OPR0375,2026-04-25,INS016,169,154,15,Misalignment,Minor,50.744,Fail,19377.77
QIN000098,BAT007420,MCH0159,LIN014,FAC005,PRD0026,SUP0022,OPR0729,2024-02-07,INS002,242,233,9,Burr,Minor,49.917,Pass,4781.98
QIN000099,BAT025018,MCH0190,LIN002,FAC001,PRD0055,SUP0155,OPR0782,2025-08-17,INS032,74,70,4,Packaging Damage,Minor,48.52,Fail,6553.78
QIN000100,BAT056002,MCH0415,LIN008,FAC003,PRD0087,SUP0082,OPR0458,2023-04-23,INS017,176,164,12,Packaging Damage,Major,50.214,Fail,6888.68
QIN000101,BAT032614,MCH0110,LIN002,FAC001,PRD0054,SUP0156,OPR0126,2023-02-04,INS076,204,178,26,Packaging Damage,Minor,50.246,Fail,9142.64
QIN000102,BAT058098,MCH0360,LIN028,FAC010,PRD0087,SUP0082,OPR0179,2024-07-21,INS066,150,135,15,Packaging Damage,Major,49.212,Fail,29606.74
QIN000103,BAT009024,MCH0154,LIN006,FAC002,PRD0082,SUP0024,OPR0160,2025-03-13,INS006,157,136,21,Surface Crack,Minor,50.111,Fail,89288.97
QIN000104,BAT040824,MCH0134,LIN006,FAC002,PRD0117,SUP0115,OPR0723,2023-12-03,INS068,162,149,13,Misalignment,Minor,50.565,Fail,10878.6
QIN000105,BAT004508,MCH0528,LIN005,FAC002,PRD0024,SUP0198,OPR0434,2025-08-23,INS055,60,54,6,Porosity,Minor,48.306,Fail,7094.06
QIN000106,BAT005035,MCH0190,LIN002,FAC001,PRD0046,SUP0113,OPR0642,2023-12-15,INS039,48,46,2,Burr,Minor,50.124,Pass,3386.98
QIN000107,BAT059207,MCH0364,LIN029,FAC010,PRD0146,SUP0045,OPR0443,2024-10-10,INS082,30,28,2,Surface Crack,Minor,49.987,Fail,11025.69
QIN000108,BAT001324,MCH0386,LIN012,FAC004,PRD0014,SUP0083,OPR0428,2025-09-20,INS002,153,143,10,Electrical Failure,Minor,49.518,Fail,11255.78
QIN000109,BAT056021,MCH0453,LIN010,FAC004,PRD0096,SUP0028,OPR0887,2023-11-07,INS061,179,158,21,Packaging Damage,Major,50.079,Fail,24609.75
QIN000110,BAT036664,MCH0312,LIN015,FAC005,PRD0006,SUP0088,OPR0892,2025-06-10,INS010,141,129,12,Packaging Damage,Minor,49.967,Fail,5268.92
QIN000111,BAT012612,MCH0153,LIN017,FAC006,PRD0096,SUP0028,OPR0700,2023-08-31,INS074,116,100,16,Dimensional Error,Major,49.407,Fail,32999.85
QIN000112,BAT004460,MCH0440,LIN027,FAC009,PRD0024,SUP0198,OPR0037,2023-02-01,INS077,161,147,14,Burr,Major,49.935,Fail,9612.6
QIN000113,BAT010892,MCH0002,LIN009,FAC003,PRD0137,SUP0024,OPR0703,2023-07-14,INS053,52,45,7,Surface Crack,Major,51.015,Fail,19924.5
QIN000114,BAT038431,MCH0596,LIN022,FAC008,PRD0129,SUP0135,OPR0883,2023-08-18,INS048,31,28,3,Surface Crack,Minor,50.497,Fail,48973.74
QIN000115,BAT045621,MCH0064,LIN025,FAC009,PRD0084,SUP0143,OPR0392,2025-02-15,INS088,103,92,11,Surface Crack,Minor,50.357,Fail,14178.7
QIN000116,BAT011049,MCH0195,LIN014,FAC005,PRD0003,SUP0011,OPR0517,2023-01-20,INS037,166,154,12,Misalignment,Minor,50.134,Fail,284.54
QIN000117,BAT031465,MCH0494,LIN001,FAC001,PRD0037,SUP0032,OPR0870,2024-04-29,INS085,55,50,5,Porosity,Minor,50.386,Fail,11204.17
QIN000118,BAT025401,MCH0362,LIN007,FAC003,PRD0125,SUP0162,OPR0840,2025-09-01,INS047,207,199,8,Electrical Failure,Minor,49.8,Pass,8153.27
QIN000119,BAT002614,MCH0011,LIN013,FAC005,PRD0084,SUP0143,OPR0545,2025-11-27,INS013,76,72,4,Burr,Minor,51.582,Fail,1408.55
QIN000120,BAT013275,MCH0107,LIN010,FAC004,PRD0133,SUP0051,OPR0184,2024-03-16,INS025,228,208,20,Discoloration,Minor,50.091,Fail,21703.82
QIN000121,BAT038716,MCH0153,LIN017,FAC006,PRD0001,SUP0143,OPR0856,2026-06-19,INS080,118,102,16,Porosity,Minor,50.641,Fail,26183.52
QIN000122,BAT013511,MCH0417,LIN001,FAC001,PRD0086,SUP0082,OPR0342,2023-11-05,INS018,197,172,25,Misalignment,Minor,49.183,Fail,7744.08
QIN000123,BAT059180,MCH0514,LIN029,FAC010,PRD0114,SUP0175,OPR0115,2023-04-05,INS017,193,179,14,Misalignment,Major,50.5,Fail,14300.22
QIN000124,BAT019621,MCH0005,LIN010,FAC004,PRD0068,SUP0178,OPR0198,2024-07-29,INS004,52,40,12,Electrical Failure,Minor,50.325,Fail,179878.97
QIN000125,BAT039263,MCH0315,LIN015,FAC005,PRD0126,SUP0195,OPR0036,2023-11-12,INS087,117,107,10,Discoloration,Minor,50.232,Fail,18217.86
QIN000126,BAT028428,MCH0083,LIN010,FAC004,PRD0037,SUP0032,OPR0081,2024-06-19,INS043,71,67,4,Porosity,Major,50.779,Fail,2389.97
QIN000127,BAT050430,MCH0168,LIN015,FAC005,PRD0001,SUP0143,OPR0887,2023-01-17,INS057,94,86,8,Dimensional Error,Major,51.63,Fail,18746.67
QIN000128,BAT058631,MCH0384,LIN021,FAC007,PRD0125,SUP0162,OPR0253,2023-07-14,INS008,88,87,1,Surface Crack,Minor,50.281,Pass,2576.13
QIN000129,BAT018272,MCH0367,LIN007,FAC003,PRD0091,SUP0041,OPR0116,2023-06-26,INS080,40,39,1,Porosity,Minor,50.325,Pass,9371.09
QIN000130,BAT059510,MCH0502,LIN011,FAC004,PRD0006,SUP0088,OPR0516,2023-03-27,INS086,227,211,16,Burr,Minor,49.24,Fail,2336.82
QIN000131,BAT011181,MCH0248,LIN028,FAC010,PRD0108,SUP0110,OPR0889,2026-01-08,INS059,134,123,11,Dimensional Error,Minor,51.262,Fail,11907.35
QIN000132,BAT028866,MCH0466,LIN005,FAC002,PRD0015,SUP0154,OPR0598,2023-05-25,INS049,240,220,20,Dimensional Error,Minor,50.406,Fail,5642.91
QIN000133,BAT042655,MCH0216,LIN028,FAC010,PRD0057,SUP0025,OPR0538,2023-12-25,INS024,181,160,21,Burr,Major,50.312,Fail,13538.35
QIN000134,BAT054018,MCH0165,LIN029,FAC010,PRD0064,SUP0146,OPR0076,2023-03-29,INS053,151,139,12,Discoloration,Minor,49.914,Fail,6720.49
QIN000135,BAT044595,MCH0467,LIN027,FAC009,PRD0145,SUP0141,OPR0141,2025-02-02,INS047,100,92,8,Surface Crack,Minor,50.754,Fail,3547.88
QIN000136,BAT045152,MCH0032,LIN023,FAC008,PRD0116,SUP0009,OPR0336,2025-03-26,INS058,147,123,24,Porosity,Minor,50.532,Fail,6564.51
QIN000137,BAT046571,MCH0083,LIN010,FAC004,PRD0065,SUP0160,OPR0386,2025-09-20,INS031,50,44,6,Surface Crack,Minor,49.638,Fail,51079.89
QIN000138,BAT058555,MCH0251,LIN017,FAC006,PRD0035,SUP0182,OPR0159,2024-10-10,INS035,240,223,17,Surface Crack,Critical,49.986,Fail,20432.01
QIN000139,BAT038474,MCH0439,LIN026,FAC009,PRD0067,SUP0038,OPR0447,2024-12-22,INS033,202,180,22,Surface Crack,Minor,49.805,Fail,11047.81
QIN000140,BAT011689,MCH0563,LIN001,FAC001,PRD0033,SUP0053,OPR0324,2025-06-19,INS023,102,95,7,Dimensional Error,Minor,50.096,Fail,2514.16
QIN000141,BAT017795,MCH0443,LIN021,FAC007,PRD0043,SUP0116,OPR0131,2024-04-09,INS018,183,175,8,Burr,Minor,50.041,Pass,2367.08
QIN000142,BAT059662,MCH0278,LIN002,FAC001,PRD0065,SUP0160,OPR0390,2023-10-29,INS052,184,176,8,Discoloration,Major,50.04,Pass,4730.53
QIN000143,BAT017383,MCH0101,LIN022,FAC008,PRD0131,SUP0087,OPR0734,2025-09-14,INS087,82,73,9,Porosity,Minor,49.514,Fail,7850.39
QIN000144,BAT042256,MCH0114,LIN004,FAC002,PRD0100,SUP0119,OPR0666,2024-05-30,INS079,247,206,41,Burr,Major,49.496,Fail,19022.87
QIN000145,BAT002736,MCH0044,LIN012,FAC004,PRD0133,SUP0051,OPR0698,2026-06-06,INS024,212,199,13,Electrical Failure,Minor,49.805,Fail,13446.79
QIN000146,BAT053931,MCH0017,LIN015,FAC005,PRD0049,SUP0015,OPR0613,2023-12-13,INS048,51,49,2,Porosity,Minor,49.726,Pass,4839.13
QIN000147,BAT056089,MCH0190,LIN002,FAC001,PRD0025,SUP0074,OPR0470,2024-12-02,INS002,215,204,11,Electrical Failure,Major,50.748,Fail,12181.7
QIN000148,BAT036152,MCH0373,LIN011,FAC004,PRD0084,SUP0143,OPR0093,2026-05-26,INS006,66,63,3,Electrical Failure,Minor,50.206,Pass,5560.35
QIN000149,BAT058542,MCH0189,LIN004,FAC002,PRD0001,SUP0143,OPR0286,2024-01-13,INS017,211,188,23,Discoloration,Minor,50.223,Fail,26138.9
QIN000150,BAT035599,MCH0368,LIN016,FAC006,PRD0006,SUP0088,OPR0746,2025-07-12,INS055,65,56,9,Packaging Damage,Minor,49.629,Fail,12712.17
QIN000151,BAT059423,MCH0136,LIN019,FAC007,PRD0052,SUP0067,OPR0629,2023-10-10,INS047,112,100,12,Misalignment,Major,51.066,Fail,16326.28
QIN000152,BAT056049,MCH0346,LIN015,FAC005,PRD0148,SUP0058,OPR0595,2023-09-10,INS086,241,215,26,Dimensional Error,Minor,49.084,Fail,36672.59
QIN000153,BAT052898,MCH0422,LIN002,FAC001,PRD0027,SUP0001,OPR0804,2023-03-31,INS067,49,46,3,Dimensional Error,Minor,51.061,Fail,6353.44
QIN000154,BAT003840,MCH0338,LIN015,FAC005,PRD0143,SUP0095,OPR0742,2024-08-19,INS087,228,209,19,Surface Crack,Minor,51.042,Fail,7465.99
QIN000155,BAT026243,MCH0139,LIN012,FAC004,PRD0031,SUP0058,OPR0975,2024-09-02,INS028,113,108,5,Porosity,Minor,50.047,Pass,667.44
QIN000156,BAT048232,MCH0084,LIN022,FAC008,PRD0117,SUP0115,OPR0917,2023-12-27,INS014,209,197,12,Misalignment,Major,51.361,Fail,3479.04
QIN000157,BAT012155,MCH0502,LIN011,FAC004,PRD0066,SUP0061,OPR0875,2024-10-20,INS044,124,118,6,Dimensional Error,Minor,50.073,Pass,5926.42
QIN000158,BAT005344,MCH0061,LIN026,FAC009,PRD0074,SUP0094,OPR0734,2025-04-30,INS050,68,63,5,Discoloration,Major,49.759,Fail,13979.34
QIN000159,BAT017108,MCH0027,LIN014,FAC005,PRD0139,SUP0088,OPR0202,2026-03-20,INS029,181,164,17,Misalignment,Minor,51.353,Fail,16366.57
QIN000160,BAT022115,MCH0022,LIN024,FAC008,PRD0141,SUP0138,OPR0900,2025-08-27,INS061,250,212,38,Discoloration,Major,49.09,Fail,2121.26
