work_order_id,machine_id,line_id,factory_id,linked_failure_event_id,scheduled_timestamp,completion_timestamp,maintenance_type,maintenance_reason,action_taken,maintenance_downtime_hours,parts_cost_inr,labor_cost_inr,total_maintenance_cost_inr,technician_id,work_order_status
MWO000012,MCH0158,LIN027,FAC009,FLR001680,2026-05-29 07:40:00,2026-05-29 11:52:00,Corrective,Bearing Failure,Alignment,4.2,13947.33,8896.43,22843.76,TECH073,Completed
MWO000013,MCH0081,LIN021,FAC007,FLR001990,2024-11-28 06:57:00,2024-11-28 08:28:12,Corrective,Sensor Failure,Lubrication,1.52,23535.88,2775.49,26311.37,TECH110,Completed
MWO000014,MCH0049,LIN007,FAC003,FLR002052,2023-09-25 04:17:59,2023-09-25 10:41:23,Emergency,Electrical Fault,Lubrication,6.39,45611.4,15243.27,60854.67,TECH133,Completed
MWO000015,MCH0143,LIN020,FAC007,FLR002812,2026-05-31 06:20:35,2026-05-31 09:39:11,Corrective,Tool Wear,Lubrication,3.31,15453.53,6795.69,22249.22,TECH129,Completed
MWO000016,MCH0025,LIN017,FAC006,FLR001715,2023-11-09 13:49:11,2023-11-09 14:44:59,Corrective,Bearing Failure,Lubrication,0.93,49021.17,2032.97,51054.14,TECH042,Completed
MWO000017,MCH0065,LIN005,FAC002,FLR001604,2024-11-04 09:28:12,2024-11-04 18:10:12,Emergency,Bearing Failure,Lubrication,8.7,35573.16,10772.47,46345.63,TECH116,Completed
MWO000018,MCH0005,LIN010,FAC004,FLR002912,2025-09-25 23:13:35,2025-09-26 09:27:59,Emergency,Hydraulic Leak,Lubrication,10.24,37385.84,19471.76,56857.6,TECH041,Completed
MWO000019,MCH0547,LIN005,FAC002,FLR001408,2025-09-27 22:04:11,2025-09-28 04:53:23,Corrective,Tool Wear,Calibration,6.82,34641.57,10365.26,45006.83,TECH055,Completed
MWO000020,MCH0497,LIN029,FAC010,FLR001245,2023-08-29 18:21:33,2023-08-29 21:44:21,Corrective,Lubrication Failure,Alignment,3.38,14271.27,3332.04,17603.31,TECH040,Completed
MWO000021,MCH0484,LIN019,FAC007,FLR000034,2025-02-14 06:22:46,2025-02-14 13:13:46,Corrective,Lubrication Failure,Electrical Repair,6.85,32177.08,8664.23,40841.31,TECH076,Completed
MWO000022,MCH0314,LIN023,FAC008,FLR002222,2024-12-25 06:13:57,2024-12-25 09:54:09,Corrective,Tool Wear,Inspection,3.67,5848.74,6150.74,11999.48,TECH026,Completed
MWO000023,MCH0426,LIN009,FAC003,FLR000313,2025-03-21 18:52:01,2025-03-21 22:14:13,Corrective,Tool Wear,Inspection,3.37,29959.36,4199.81,34159.17,TECH027,Completed
MWO000024,MCH0165,LIN029,FAC010,FLR000410,2023-08-15 18:40:59,2023-08-15 20:00:47,Corrective,Bearing Failure,Alignment,1.33,26190.1,2207.82,28397.92,TECH025,Completed
MWO000025,MCH0191,LIN025,FAC009,FLR000371,2024-02-13 10:55:56,2024-02-13 17:22:20,Corrective,Tool Wear,Inspection,6.44,11020.11,9415.17,20435.28,TECH086,Completed
MWO000026,MCH0568,LIN019,FAC007,FLR002305,2023-08-23 23:59:41,2023-08-24 05:45:53,Corrective,Excessive Vibration,Replace Component,5.77,44424.85,12118.48,56543.33,TECH057,Completed
MWO000027,MCH0516,LIN030,FAC010,FLR002493,2024-06-23 22:03:26,2024-06-24 02:14:14,Corrective,Excessive Vibration,Inspection,4.18,8329.26,8521.09,16850.35,TECH113,Completed
MWO000028,MCH0269,LIN002,FAC001,FLR000541,2024-06-12 19:34:45,2024-06-13 02:57:33,Emergency,Lubrication Failure,Lubrication,7.38,33626.2,17466.3,51092.5,TECH008,Completed
MWO000029,MCH0472,LIN011,FAC004,FLR002133,2023-10-20 16:22:44,2023-10-20 19:21:32,Corrective,Bearing Failure,Alignment,2.98,10602.53,5907.51,16510.04,TECH074,Completed
MWO000030,MCH0026,LIN006,FAC002,FLR000849,2025-07-08 22:31:50,2025-07-09 00:01:14,Corrective,Lubrication Failure,Inspection,1.49,1344.67,1724.5,3069.17,TECH095,Completed
MWO000031,MCH0482,LIN024,FAC008,FLR002939,2024-04-14 11:04:55,2024-04-14 22:36:07,Corrective,Sensor Failure,Alignment,11.52,9503.37,23234.36,32737.73,TECH045,Completed
MWO000032,MCH0152,LIN010,FAC004,FLR002292,2023-08-21 01:38:13,2023-08-21 03:21:25,Corrective,Excessive Vibration,Inspection,1.72,39828.66,2125.17,41953.83,TECH114,Completed
MWO000033,MCH0035,LIN005,FAC002,FLR001101,2026-04-27 16:31:13,2026-04-27 23:20:25,Corrective,Bearing Failure,Electrical Repair,6.82,44638.79,15495.66,60134.45,TECH130,Completed
MWO000034,MCH0450,LIN022,FAC008,FLR001276,2024-10-14 20:03:53,2024-10-14 23:42:17,Corrective,Tool Wear,Alignment,3.64,26523.17,7268.53,33791.7,TECH073,Completed
MWO000035,MCH0228,LIN011,FAC004,FLR000262,2026-06-09 20:35:10,2026-06-09 23:44:10,Corrective,Excessive Vibration,Alignment,3.15,20332.71,7096.59,27429.3,TECH008,Completed
MWO000036,MCH0030,LIN022,FAC008,FLR001535,2023-03-25 21:14:06,2023-03-26 02:38:06,Emergency,Sensor Failure,Alignment,5.4,35649.12,12712.17,48361.29,TECH012,Completed
MWO000037,MCH0328,LIN024,FAC008,FLR000770,2025-01-30 14:58:07,2025-01-30 16:30:31,Corrective,Bearing Failure,Lubrication,1.54,7900.22,2879.96,10780.18,TECH085,Completed
MWO000038,MCH0579,LIN003,FAC001,FLR002936,2025-12-21 11:30:49,2025-12-21 17:09:13,Corrective,Bearing Failure,Electrical Repair,5.64,17620.69,7213.72,24834.41,TECH038,Completed
MWO000039,MCH0460,LIN030,FAC010,FLR000380,2023-11-10 23:11:58,2023-11-11 07:20:22,Emergency,Lubrication Failure,Inspection,8.14,37152.05,9942.49,47094.54,TECH011,Completed
MWO000040,MCH0112,LIN003,FAC001,FLR000412,2026-01-21 15:06:53,2026-01-21 18:17:41,Corrective,Tool Wear,Electrical Repair,3.18,2925.5,4793.91,7719.41,TECH019,Completed
MWO000041,MCH0529,LIN014,FAC005,FLR002281,2023-04-25 17:07:05,2023-04-26 01:19:41,Emergency,Tool Wear,Inspection,8.21,33937.68,14752.79,48690.47,TECH097,Completed
MWO000042,MCH0100,LIN014,FAC005,FLR001980,2024-07-02 15:29:51,2024-07-02 18:01:39,Corrective,Hydraulic Leak,Inspection,2.53,26065.54,2627.16,28692.7,TECH050,Completed
MWO000043,MCH0145,LIN010,FAC004,FLR000691,2023-04-24 00:03:54,2023-04-24 10:32:42,Emergency,Overheating,Electrical Repair,10.48,58826.55,16796.56,75623.11,TECH031,Completed
MWO000044,MCH0528,LIN005,FAC002,FLR002444,2023-09-12 04:12:07,2023-09-12 08:33:07,Corrective,Electrical Fault,Electrical Repair,4.35,17658.11,6576.3,24234.41,TECH007,Completed
MWO000045,MCH0054,LIN006,FAC002,FLR000736,2023-09-04 05:14:36,2023-09-04 07:51:48,Corrective,Bearing Failure,Replace Component,2.62,14822.89,3514.6,18337.49,TECH060,Completed
MWO000046,MCH0354,LIN005,FAC002,FLR002984,2023-04-02 22:48:20,2023-04-03 01:50:44,Corrective,Electrical Fault,Electrical Repair,3.04,16465.02,5917.41,22382.43,TECH102,Completed
MWO000047,MCH0128,LIN027,FAC009,FLR000012,2025-11-24 22:54:13,2025-11-25 04:30:13,Corrective,Overheating,Lubrication,5.6,1633.31,8581.53,10214.84,TECH137,Completed
MWO000048,MCH0358,LIN027,FAC009,FLR002228,2025-12-12 16:18:56,2025-12-12 17:39:20,Corrective,Electrical Fault,Calibration,1.34,28968.83,2753.72,31722.55,TECH131,Completed
MWO000049,MCH0396,LIN028,FAC010,FLR002661,2023-08-14 01:27:20,2023-08-14 05:21:56,Corrective,Sensor Failure,Alignment,3.91,11357.67,9329.43,20687.1,TECH058,Completed
MWO000050,MCH0329,LIN014,FAC005,FLR000177,2025-08-14 23:11:55,2025-08-15 02:53:19,Corrective,Tool Wear,Calibration,3.69,28349.65,4759.05,33108.7,TECH097,Completed
MWO000051,MCH0539,LIN017,FAC006,FLR001248,2023-05-14 13:41:27,2023-05-15 00:36:03,Emergency,Hydraulic Leak,Electrical Repair,10.91,67556.65,20631.06,88187.71,TECH045,In Progress
MWO000052,MCH0083,LIN010,FAC004,FLR000492,2025-01-09 08:25:00,2025-01-09 16:17:12,Emergency,Hydraulic Leak,Lubrication,7.87,55976.8,10328.3,66305.1,TECH122,In Progress
MWO000053,MCH0188,LIN004,FAC002,FLR001388,2025-09-28 14:01:00,2025-09-28 22:51:24,Corrective,Overheating,Calibration,8.84,18018.61,11284.42,29303.03,TECH002,Completed
MWO000054,MCH0265,LIN011,FAC004,FLR002897,2023-07-24 01:27:21,2023-07-24 02:56:45,Corrective,Bearing Failure,Alignment,1.49,51574.92,1788.59,53363.51,TECH089,Completed
MWO000055,MCH0299,LIN014,FAC005,FLR000124,2024-03-22 09:16:18,2024-03-22 13:12:06,Corrective,Excessive Vibration,Inspection,3.93,11830.76,6951.09,18781.85,TECH024,Completed
MWO000056,MCH0330,LIN023,FAC008,FLR002467,2024-03-23 01:28:46,2024-03-23 04:14:58,Corrective,Lubrication Failure,Lubrication,2.77,493.33,3680.22,4173.55,TECH002,Completed
MWO000057,MCH0317,LIN021,FAC007,FLR001707,2024-09-06 13:52:05,2024-09-06 20:44:17,Corrective,Overheating,Lubrication,6.87,17000.8,15747.56,32748.36,TECH071,Completed
MWO000058,MCH0345,LIN018,FAC006,FLR001328,2025-08-06 22:07:46,2025-08-07 09:13:10,Emergency,Overheating,Lubrication,11.09,33839.17,17879.86,51719.03,TECH003,Completed
MWO000059,MCH0264,LIN030,FAC010,FLR001698,2024-07-31 08:30:33,2024-07-31 10:39:33,Corrective,Hydraulic Leak,Alignment,2.15,9867.0,4259.7,14126.7,TECH094,Completed
MWO000060,MCH0508,LIN010,FAC004,FLR001450,2023-08-02 13:47:30,2023-08-02 15:18:06,Corrective,Hydraulic Leak,Lubrication,1.51,4447.07,2157.38,6604.45,TECH084,Completed
MWO000061,MCH0429,LIN004,FAC002,FLR002917,2023-05-16 17:27:17,2023-05-17 00:08:41,Corrective,Electrical Fault,Lubrication,6.69,8939.65,15968.03,24907.68,TECH099,Completed
MWO000062,MCH0428,LIN011,FAC004,FLR000648,2023-07-06 22:22:42,2023-07-06 23:04:06,Corrective,Excessive Vibration,Replace Component,0.69,19842.89,1340.75,21183.64,TECH001,Completed
MWO000063,MCH0542,LIN004,FAC002,FLR002696,2025-07-26 14:43:49,2025-07-26 18:42:37,Corrective,Overheating,Lubrication,3.98,19493.08,4617.24,24110.32,TECH032,Completed
MWO000064,MCH0415,LIN008,FAC003,FLR000093,2025-04-01 17:27:02,2025-04-01 19:24:38,Corrective,Overheating,Alignment,1.96,4481.91,3208.34,7690.25,TECH080,Cancelled
MWO000065,MCH0513,LIN027,FAC009,FLR001587,2025-05-11 19:52:58,2025-05-12 01:49:58,Corrective,Sensor Failure,Inspection,5.95,14483.22,10751.61,25234.83,TECH069,Completed
MWO000066,MCH0363,LIN017,FAC006,FLR000163,2023-03-06 18:13:23,2023-03-06 19:49:59,Corrective,Tool Wear,Calibration,1.61,28650.68,2313.26,30963.94,TECH130,Completed
MWO000067,MCH0322,LIN010,FAC004,FLR001186,2026-05-15 23:21:31,2026-05-16 01:34:07,Corrective,Overheating,Inspection,2.21,14769.99,2168.25,16938.24,TECH058,Completed
MWO000068,MCH0532,LIN007,FAC003,FLR000701,2024-05-27 07:20:02,2024-05-27 12:47:38,Emergency,Bearing Failure,Inspection,5.46,34477.9,8400.87,42878.77,TECH113,Completed
MWO000069,MCH0144,LIN010,FAC004,FLR002053,2023-04-15 16:45:00,2023-04-15 20:28:48,Corrective,Sensor Failure,Inspection,3.73,15219.41,3830.19,19049.6,TECH056,Completed
MWO000070,MCH0497,LIN029,FAC010,FLR001293,2024-11-24 19:30:02,2024-11-24 23:21:38,Corrective,Excessive Vibration,Alignment,3.86,43712.54,6927.41,50639.95,TECH082,Completed
MWO000071,MCH0120,LIN007,FAC003,FLR001375,2024-10-10 14:35:18,2024-10-11 06:31:06,Corrective,Excessive Vibration,Calibration,15.93,8241.49,37231.9,45473.39,TECH054,Completed
MWO000072,MCH0541,LIN019,FAC007,FLR002585,2025-05-26 10:45:40,2025-05-26 16:54:04,Emergency,Bearing Failure,Electrical Repair,6.14,38426.37,11664.0,50090.37,TECH009,In Progress
MWO000073,MCH0347,LIN015,FAC005,FLR001153,2024-09-13 18:42:26,2024-09-14 01:28:38,Corrective,Tool Wear,Inspection,6.77,13114.85,7773.94,20888.79,TECH014,Completed
MWO000074,MCH0547,LIN005,FAC002,FLR001266,2026-05-29 05:48:37,2026-05-29 13:15:01,Emergency,Sensor Failure,Replace Component,7.44,35301.81,15081.21,50383.02,TECH036,Completed
MWO000075,MCH0347,LIN015,FAC005,FLR002153,2023-12-08 04:47:19,2023-12-08 06:48:31,Corrective,Overheating,Inspection,2.02,21462.28,2612.09,24074.37,TECH110,Completed
MWO000076,MCH0221,LIN027,FAC009,FLR002635,2024-01-10 17:08:32,2024-01-11 01:31:56,Emergency,Lubrication Failure,Electrical Repair,8.39,38234.52,10403.88,48638.4,TECH020,Completed
MWO000077,MCH0415,LIN008,FAC003,FLR000093,2025-04-01 18:53:11,2025-04-01 22:12:59,Corrective,Overheating,Replace Component,3.33,19539.73,7302.87,26842.6,TECH077,Completed
MWO000078,MCH0107,LIN010,FAC004,FLR002860,2024-09-16 18:16:50,2024-09-17 01:59:26,Emergency,Sensor Failure,Lubrication,7.71,43901.4,12636.16,56537.56,TECH011,Completed
MWO000079,MCH0163,LIN007,FAC003,FLR002482,2025-08-17 16:49:35,2025-08-17 21:10:35,Corrective,Hydraulic Leak,Lubrication,4.35,1258.58,7456.41,8714.99,TECH003,Completed
MWO000080,MCH0288,LIN014,FAC005,FLR000180,2023-01-13 07:56:12,2023-01-13 11:57:24,Corrective,Hydraulic Leak,Electrical Repair,4.02,5148.49,9026.68,14175.17,TECH080,Completed
MWO000081,MCH0133,LIN013,FAC005,FLR000839,2025-02-11 11:30:04,2025-02-11 23:16:52,Corrective,Hydraulic Leak,Replace Component,11.78,7919.16,14684.72,22603.88,TECH019,Completed
MWO000082,MCH0468,LIN030,FAC010,FLR000467,2023-04-28 04:09:24,2023-04-28 15:13:00,Corrective,Hydraulic Leak,Alignment,11.06,12971.84,11946.18,24918.02,TECH089,Completed
MWO000083,MCH0455,LIN030,FAC010,FLR000497,2023-11-09 15:55:40,2023-11-09 20:21:28,Corrective,Tool Wear,Replace Component,4.43,30298.7,7471.36,37770.06,TECH062,Completed
MWO000084,MCH0240,LIN015,FAC005,FLR002474,2024-04-12 10:18:10,2024-04-12 10:43:22,Corrective,Tool Wear,Lubrication,0.42,5910.15,647.88,6558.03,TECH038,In Progress
MWO000085,MCH0302,LIN016,FAC006,FLR002302,2024-06-09 18:48:46,2024-06-09 22:56:34,Corrective,Overheating,Calibration,4.13,3535.86,6592.08,10127.94,TECH108,Completed
MWO000086,MCH0444,LIN012,FAC004,FLR002736,2026-05-12 03:46:54,2026-05-12 12:25:54,Corrective,Tool Wear,Alignment,8.65,26901.88,19719.65,46621.53,TECH043,Completed
MWO000087,MCH0596,LIN022,FAC008,FLR002644,2025-10-18 21:14:37,2025-10-18 23:42:49,Corrective,Overheating,Alignment,2.47,15375.99,5341.24,20717.23,TECH110,Completed
MWO000088,MCH0238,LIN007,FAC003,FLR001151,2024-08-05 14:51:22,2024-08-05 20:43:34,Corrective,Electrical Fault,Inspection,5.87,25325.47,9299.83,34625.3,TECH023,Completed
MWO000089,MCH0089,LIN017,FAC006,FLR002183,2024-04-07 20:53:30,2024-04-08 06:52:18,Corrective,Sensor Failure,Replace Component,9.98,3361.22,20828.84,24190.06,TECH103,Completed
MWO000090,MCH0393,LIN019,FAC007,FLR002101,2024-02-01 17:20:59,2024-02-02 00:11:59,Emergency,Hydraulic Leak,Inspection,6.85,64189.06,14634.09,78823.15,TECH129,Completed
MWO000091,MCH0105,LIN004,FAC002,FLR002495,2023-02-07 19:29:44,2023-02-07 22:41:44,Corrective,Excessive Vibration,Electrical Repair,3.2,13821.56,3687.23,17508.79,TECH055,Completed
MWO000092,MCH0292,LIN015,FAC005,FLR002505,2023-08-17 19:42:04,2023-08-17 23:13:52,Corrective,Overheating,Inspection,3.53,10412.16,6397.21,16809.37,TECH131,Completed
MWO000093,MCH0074,LIN001,FAC001,FLR000463,2023-07-10 11:08:23,2023-07-10 13:04:11,Corrective,Sensor Failure,Replace Component,1.93,2133.33,2946.74,5080.07,TECH126,Completed
MWO000094,MCH0563,LIN001,FAC001,FLR001448,2023-08-19 20:47:44,2023-08-19 22:17:08,Corrective,Excessive Vibration,Inspection,1.49,23961.26,1743.0,25704.26,TECH037,Completed
MWO000095,MCH0052,LIN006,FAC002,FLR002164,2023-11-13 08:47:20,2023-11-13 15:47:20,Emergency,Tool Wear,Alignment,7.0,51406.78,11243.47,62650.25,TECH015,In Progress
MWO000096,MCH0272,LIN002,FAC001,FLR002251,2024-10-05 03:15:03,2024-10-05 06:34:15,Corrective,Electrical Fault,Lubrication,3.32,5985.34,4750.24,10735.58,TECH127,Completed
MWO000097,MCH0598,LIN029,FAC010,FLR000299,2024-10-25 05:12:22,2024-10-25 11:50:46,Corrective,Excessive Vibration,Alignment,6.64,24910.78,11237.52,36148.3,TECH069,Completed
MWO000098,MCH0497,LIN029,FAC010,FLR002599,2024-12-12 12:25:04,2024-12-12 19:59:16,Corrective,Electrical Fault,Inspection,7.57,22826.59,11414.41,34241.0,TECH116,Completed
MWO000099,MCH0342,LIN026,FAC009,FLR002683,2024-02-18 05:45:26,2024-02-18 07:28:02,Corrective,Overheating,Alignment,1.71,7234.67,3460.41,10695.08,TECH049,Completed
MWO000100,MCH0530,LIN014,FAC005,FLR002538,2025-08-24 06:29:47,2025-08-24 13:50:47,Emergency,Overheating,Calibration,7.35,54815.2,16540.88,71356.08,TECH034,Completed
MWO000101,MCH0097,LIN022,FAC008,FLR002942,2023-06-03 17:32:24,2023-06-03 23:31:48,Corrective,Hydraulic Leak,Calibration,5.99,3948.29,9521.9,13470.19,TECH035,Completed
MWO000102,MCH0093,LIN027,FAC009,FLR001984,2024-06-13 01:26:36,2024-06-13 04:37:24,Corrective,Excessive Vibration,Calibration,3.18,25439.56,4067.51,29507.07,TECH130,Completed
MWO000103,MCH0221,LIN027,FAC009,FLR002466,2023-01-21 13:36:25,2023-01-21 16:16:37,Corrective,Lubrication Failure,Lubrication,2.67,14023.57,3334.61,17358.18,TECH134,Completed
MWO000104,MCH0022,LIN024,FAC008,FLR002629,2025-11-07 14:56:27,2025-11-07 18:46:15,Corrective,Sensor Failure,Alignment,3.83,11268.55,4295.1,15563.65,TECH131,Completed
MWO000105,MCH0200,LIN004,FAC002,FLR000178,2023-01-11 20:31:59,2023-01-12 06:57:11,Emergency,Bearing Failure,Lubrication,10.42,38445.16,10433.81,48878.97,TECH077,Completed
MWO000106,MCH0004,LIN020,FAC007,FLR000507,2023-02-01 09:21:42,2023-02-01 12:01:18,Corrective,Lubrication Failure,Lubrication,2.66,4084.44,4428.75,8513.19,TECH075,Completed
MWO000107,MCH0129,LIN003,FAC001,FLR001367,2025-08-16 16:16:13,2025-08-16 22:18:37,Emergency,Hydraulic Leak,Replace Component,6.04,40838.94,10685.45,51524.39,TECH054,Completed
MWO000108,MCH0359,LIN019,FAC007,FLR001756,2024-08-02 21:42:51,2024-08-03 02:47:39,Corrective,Lubrication Failure,Replace Component,5.08,15150.31,7108.59,22258.9,TECH035,Cancelled
MWO000109,MCH0597,LIN012,FAC004,FLR000485,2025-09-06 01:26:47,2025-09-06 08:42:59,Emergency,Bearing Failure,Inspection,7.27,37330.94,12755.65,50086.59,TECH026,Completed
MWO000110,MCH0057,LIN020,FAC007,FLR000285,2026-06-02 13:19:17,2026-06-03 02:57:05,Emergency,Overheating,Replace Component,13.63,73781.61,22860.57,96642.18,TECH010,In Progress
MWO000111,MCH0573,LIN004,FAC002,FLR000002,2025-05-24 13:21:16,2025-05-24 18:10:28,Corrective,Bearing Failure,Calibration,4.82,16812.81,10728.11,27540.92,TECH085,Completed
MWO000112,MCH0415,LIN008,FAC003,FLR000915,2024-03-02 03:01:39,2024-03-02 10:02:51,Emergency,Bearing Failure,Lubrication,7.02,46687.58,12639.38,59326.96,TECH108,Completed
MWO000113,MCH0173,LIN020,FAC007,FLR001061,2025-01-19 00:38:05,2025-01-19 03:31:29,Corrective,Sensor Failure,Alignment,2.89,15533.38,3256.65,18790.03,TECH001,In Progress
MWO000114,MCH0548,LIN011,FAC004,FLR001150,2025-10-17 10:00:23,2025-10-17 12:04:35,Corrective,Sensor Failure,Replace Component,2.07,5012.14,4401.58,9413.72,TECH065,Completed
MWO000115,MCH0326,LIN026,FAC009,FLR001438,2024-02-07 03:29:08,2024-02-07 06:16:32,Corrective,Hydraulic Leak,Electrical Repair,2.79,28448.05,3601.31,32049.36,TECH028,Completed
MWO000116,MCH0131,LIN006,FAC002,FLR002038,2023-10-13 14:45:43,2023-10-13 16:01:55,Corrective,Excessive Vibration,Calibration,1.27,3658.57,2913.65,6572.22,TECH134,Completed
MWO000117,MCH0467,LIN027,FAC009,FLR001856,2026-05-18 13:12:52,2026-05-18 18:43:28,Corrective,Bearing Failure,Calibration,5.51,11884.43,8604.05,20488.48,TECH034,Completed
MWO000118,MCH0258,LIN026,FAC009,FLR002125,2025-02-17 18:06:10,2025-02-17 23:41:34,Corrective,Hydraulic Leak,Inspection,5.59,11530.34,10747.8,22278.14,TECH029,In Progress
MWO000119,MCH0300,LIN002,FAC001,FLR001958,2023-03-06 01:33:47,2023-03-06 11:03:47,Emergency,Overheating,Replace Component,9.5,58133.78,14606.65,72740.43,TECH029,Completed
MWO000120,MCH0408,LIN009,FAC003,FLR001546,2024-04-10 09:50:52,2024-04-10 13:23:16,Corrective,Sensor Failure,Replace Component,3.54,26451.97,3579.45,30031.42,TECH126,Completed
MWO000121,MCH0173,LIN020,FAC007,FLR001061,2025-01-19 02:36:42,2025-01-19 07:19:54,Corrective,Sensor Failure,Calibration,4.72,38634.64,6548.2,45182.84,TECH076,Completed
MWO000122,MCH0467,LIN027,FAC009,FLR001444,2023-10-19 22:20:57,2023-10-20 04:48:33,Emergency,Hydraulic Leak,Electrical Repair,6.46,37000.07,12335.08,49335.15,TECH087,Completed
MWO000123,MCH0471,LIN013,FAC005,FLR000992,2026-06-20 00:32:41,2026-06-20 14:24:17,Corrective,Electrical Fault,Lubrication,13.86,7305.76,27430.25,34736.01,TECH065,Completed
MWO000124,MCH0212,LIN030,FAC010,FLR002991,2025-07-25 21:08:56,2025-07-25 22:55:44,Corrective,Overheating,Lubrication,1.78,18173.66,3619.91,21793.57,TECH108,Completed
MWO000125,MCH0128,LIN027,FAC009,FLR000728,2024-02-26 04:12:29,2024-02-26 11:56:17,Emergency,Tool Wear,Lubrication,7.73,59663.76,9615.28,69279.04,TECH020,Completed
MWO000126,MCH0508,LIN010,FAC004,FLR002234,2023-09-24 16:36:36,2023-09-24 17:04:48,Corrective,Excessive Vibration,Calibration,0.47,23575.8,492.96,24068.76,TECH123,Completed
MWO000127,MCH0153,LIN017,FAC006,FLR002058,2024-07-09 10:40:06,2024-07-09 15:48:30,Corrective,Electrical Fault,Electrical Repair,5.14,3232.58,9518.41,12750.99,TECH125,Completed
MWO000128,MCH0197,LIN001,FAC001,FLR002893,2024-01-02 18:24:15,2024-01-03 03:20:03,Emergency,Excessive Vibration,Lubrication,8.93,62318.35,17930.89,80249.24,TECH055,Completed
MWO000129,MCH0419,LIN008,FAC003,FLR001510,2024-06-23 00:22:43,2024-06-23 06:29:55,Corrective,Lubrication Failure,Inspection,6.12,29727.61,12438.93,42166.54,TECH104,Completed
MWO000130,MCH0534,LIN027,FAC009,FLR002403,2024-02-18 18:15:05,2024-02-19 00:43:17,Corrective,Lubrication Failure,Lubrication,6.47,10902.9,14486.4,25389.3,TECH101,Completed
MWO000131,MCH0485,LIN007,FAC003,FLR000579,2023-11-15 18:25:50,2023-11-15 20:05:26,Corrective,Lubrication Failure,Calibration,1.66,30175.03,1625.56,31800.59,TECH056,Completed
MWO000132,MCH0093,LIN027,FAC009,FLR002825,2025-07-08 00:32:24,2025-07-08 01:31:12,Corrective,Excessive Vibration,Alignment,0.98,12069.39,1829.64,13899.03,TECH097,Completed
MWO000133,MCH0557,LIN030,FAC010,FLR002542,2025-05-10 04:27:47,2025-05-10 13:18:11,Emergency,Hydraulic Leak,Replace Component,8.84,41779.84,9506.92,51286.76,TECH005,Completed
MWO000134,MCH0370,LIN029,FAC010,FLR002201,2023-06-23 09:29:19,2023-06-23 12:48:31,Corrective,Electrical Fault,Alignment,3.32,19520.26,4212.31,23732.57,TECH075,Completed
MWO000135,MCH0592,LIN023,FAC008,FLR000940,2025-12-13 13:51:04,2025-12-13 18:32:28,Corrective,Excessive Vibration,Lubrication,4.69,62018.24,8965.66,70983.9,TECH026,Completed
MWO000136,MCH0001,LIN020,FAC007,FLR002300,2025-03-16 08:38:05,2025-03-16 12:05:41,Corrective,Hydraulic Leak,Inspection,3.46,31472.09,6027.98,37500.07,TECH008,Completed
