failure_event_id,machine_id,line_id,factory_id,failure_timestamp,failure_mode,failure_severity,sensor_precursor_days,repair_duration_hours,estimated_failure_loss_inr,resolution_status
FLR000136,MCH0537,LIN013,FAC005,2024-03-19 04:40:07,Overheating,Major,3,3.5,196261.11,Resolved
FLR000137,MCH0315,LIN015,FAC005,2024-02-20 04:45:21,Overheating,Minor,5,7.52,228120.86,Open
FLR000138,MCH0226,LIN027,FAC009,2023-01-28 09:33:09,Sensor Failure,Critical,5,16.11,1520708.46,Resolved
FLR000139,MCH0305,LIN003,FAC001,2026-04-07 13:58:17,Hydraulic Leak,Critical,2,10.62,319604.93,Resolved
FLR000140,MCH0552,LIN012,FAC004,2024-07-07 18:45:44,Bearing Failure,Critical,1,18.23,996333.83,Resolved
FLR000141,MCH0592,LIN023,FAC008,2025-07-25 19:08:22,Overheating,Minor,3,7.7,630582.9,Resolved
FLR000142,MCH0575,LIN008,FAC003,2024-01-02 15:14:55,Overheating,Minor,2,5.68,435637.77,Resolved
FLR000143,MCH0528,LIN005,FAC002,2024-06-29 15:31:33,Bearing Failure,Critical,2,10.02,487123.53,Resolved
FLR000144,MCH0506,LIN001,FAC001,2024-02-05 22:13:46,Electrical Fault,Major,5,10.92,882250.5,Open
FLR000145,MCH0581,LIN004,FAC002,2023-09-06 17:07:36,Bearing Failure,Critical,2,11.32,635364.89,Resolved
FLR000146,MCH0550,LIN019,FAC007,2025-03-30 01:45:01,Excessive Vibration,Critical,4,24.47,626373.55,Resolved
FLR000147,MCH0020,LIN001,FAC001,2025-01-27 00:18:10,Bearing Failure,Major,7,7.29,685417.5,Resolved
FLR000148,MCH0028,LIN004,FAC002,2026-02-01 10:39:54,Bearing Failure,Major,4,6.37,515556.1,Open
FLR000149,MCH0539,LIN017,FAC006,2023-04-08 22:07:24,Bearing Failure,Major,1,2.8,76076.39,Resolved
FLR000150,MCH0181,LIN020,FAC007,2024-07-20 23:08:31,Tool Wear,Minor,1,3.98,293880.64,Open
FLR000151,MCH0259,LIN026,FAC009,2023-11-11 19:03:13,Hydraulic Leak,Major,1,3.94,335815.66,Resolved
FLR000152,MCH0599,LIN003,FAC001,2023-02-08 21:21:35,Bearing Failure,Major,2,14.94,1691192.05,Open
FLR000153,MCH0068,LIN009,FAC003,2023-01-08 00:27:40,Sensor Failure,Minor,5,5.09,270129.11,Resolved
FLR000154,MCH0423,LIN009,FAC003,2024-09-15 20:11:48,Hydraulic Leak,Major,2,1.74,204073.24,Resolved
FLR000155,MCH0043,LIN023,FAC008,2025-08-15 01:05:14,Tool Wear,Minor,1,5.74,558735.16,Resolved
FLR000156,MCH0594,LIN016,FAC006,2026-05-02 12:26:47,Hydraulic Leak,Critical,6,8.98,527724.2,Resolved
FLR000157,MCH0300,LIN002,FAC001,2024-06-25 09:00:41,Hydraulic Leak,Minor,2,0.93,28363.83,Open
FLR000158,MCH0018,LIN026,FAC009,2024-06-23 07:59:36,Overheating,Major,4,5.3,503127.63,Resolved
FLR000159,MCH0498,LIN011,FAC004,2024-10-24 04:01:26,Tool Wear,Minor,5,16.41,715245.93,Resolved
FLR000160,MCH0198,LIN003,FAC001,2024-04-23 09:46:56,Tool Wear,Major,3,6.13,253663.56,Resolved
FLR000161,MCH0180,LIN011,FAC004,2024-02-18 02:20:38,Overheating,Critical,2,10.27,902870.16,Resolved
FLR000162,MCH0041,LIN011,FAC004,2025-04-03 09:38:53,Excessive Vibration,Major,4,5.08,320166.86,Resolved
FLR000163,MCH0363,LIN017,FAC006,2023-03-06 15:33:38,Tool Wear,Major,7,4.45,269540.64,Open
FLR000164,MCH0114,LIN004,FAC002,2023-12-31 13:04:21,Hydraulic Leak,Critical,5,14.91,1505767.49,Resolved
FLR000165,MCH0176,LIN008,FAC003,2025-01-03 16:01:53,Hydraulic Leak,Major,2,6.72,237742.52,Resolved
FLR000166,MCH0287,LIN017,FAC006,2024-07-16 00:36:33,Bearing Failure,Minor,5,13.87,654363.05,Resolved
FLR000167,MCH0279,LIN001,FAC001,2023-12-29 12:43:47,Electrical Fault,Minor,6,8.14,887623.26,Resolved
FLR000168,MCH0334,LIN018,FAC006,2024-02-27 12:49:04,Tool Wear,Minor,7,2.03,158311.89,Open
FLR000169,MCH0444,LIN012,FAC004,2023-10-04 17:03:27,Excessive Vibration,Minor,1,12.1,1046144.67,Resolved
FLR000170,MCH0275,LIN008,FAC003,2023-12-28 18:43:23,Overheating,Major,3,4.64,186773.99,Resolved
FLR000171,MCH0561,LIN029,FAC010,2024-10-14 22:29:27,Excessive Vibration,Major,6,8.94,933972.56,Resolved
FLR000172,MCH0140,LIN013,FAC005,2025-08-02 07:03:24,Excessive Vibration,Minor,3,3.27,162510.59,Resolved
FLR000173,MCH0019,LIN029,FAC010,2025-10-20 21:15:16,Overheating,Minor,4,1.47,106412.84,Resolved
FLR000174,MCH0239,LIN015,FAC005,2025-08-05 01:23:24,Electrical Fault,Major,3,1.53,87396.55,Resolved
FLR000175,MCH0416,LIN002,FAC001,2026-05-21 03:00:23,Electrical Fault,Minor,5,11.37,1099241.58,Resolved
FLR000176,MCH0517,LIN005,FAC002,2023-03-28 04:36:02,Lubrication Failure,Major,1,2.74,255449.22,Resolved
FLR000177,MCH0329,LIN014,FAC005,2025-08-14 19:05:07,Tool Wear,Major,3,8.27,408918.75,Resolved
FLR000178,MCH0200,LIN004,FAC002,2023-01-11 19:23:35,Bearing Failure,Critical,7,14.81,551359.77,Resolved
FLR000179,MCH0314,LIN023,FAC008,2023-11-06 16:23:29,Electrical Fault,Major,4,7.49,863313.29,Open
FLR000180,MCH0288,LIN014,FAC005,2023-01-13 01:17:50,Hydraulic Leak,Minor,1,4.53,499871.9,Resolved
FLR000181,MCH0133,LIN013,FAC005,2025-09-21 16:03:43,Electrical Fault,Major,6,0.61,27048.41,Resolved
FLR000182,MCH0479,LIN007,FAC003,2024-08-23 10:43:13,Lubrication Failure,Major,3,1.15,43079.06,Open
FLR000183,MCH0439,LIN026,FAC009,2024-11-02 03:16:45,Overheating,Major,7,1.87,111086.2,Resolved
FLR000184,MCH0166,LIN004,FAC002,2023-03-18 19:03:19,Sensor Failure,Major,4,4.56,124668.02,Resolved
FLR000185,MCH0057,LIN020,FAC007,2024-12-12 08:37:58,Overheating,Minor,7,15.47,671937.16,Resolved
FLR000186,MCH0324,LIN024,FAC008,2024-03-28 21:48:01,Electrical Fault,Minor,7,2.21,93434.85,Resolved
FLR000187,MCH0036,LIN014,FAC005,2024-12-05 05:43:52,Tool Wear,Minor,4,4.88,367889.23,Resolved
FLR000188,MCH0295,LIN020,FAC007,2023-09-03 22:21:26,Overheating,Major,7,3.34,321047.13,Resolved
FLR000189,MCH0286,LIN023,FAC008,2023-07-30 00:47:35,Lubrication Failure,Minor,5,8.97,678973.69,Resolved
FLR000190,MCH0018,LIN026,FAC009,2026-06-04 08:09:48,Bearing Failure,Minor,7,6.49,551873.69,Resolved
FLR000191,MCH0484,LIN019,FAC007,2024-03-04 18:37:52,Sensor Failure,Major,4,11.98,1313323.47,Resolved
FLR000192,MCH0582,LIN013,FAC005,2024-09-06 02:09:05,Sensor Failure,Minor,1,6.0,530143.29,Resolved
FLR000193,MCH0238,LIN007,FAC003,2024-11-08 09:06:46,Electrical Fault,Critical,3,11.01,893821.85,Resolved
FLR000194,MCH0144,LIN010,FAC004,2026-05-21 18:42:49,Excessive Vibration,Critical,4,18.65,570228.16,Open
FLR000195,MCH0184,LIN001,FAC001,2024-11-11 08:12:10,Tool Wear,Major,1,11.81,680209.7,Resolved
FLR000196,MCH0331,LIN012,FAC004,2023-05-25 19:08:44,Sensor Failure,Major,7,11.48,1042539.5,Resolved
FLR000197,MCH0553,LIN013,FAC005,2025-10-02 04:32:05,Bearing Failure,Minor,7,5.75,573778.2,Resolved
FLR000198,MCH0560,LIN024,FAC008,2026-03-16 22:26:42,Bearing Failure,Minor,1,10.94,719187.02,Resolved
FLR000199,MCH0200,LIN004,FAC002,2024-11-11 00:35:31,Hydraulic Leak,Major,3,2.92,297245.93,Resolved
FLR000200,MCH0447,LIN011,FAC004,2023-02-15 22:01:28,Hydraulic Leak,Major,7,15.64,579948.28,Resolved
FLR000201,MCH0129,LIN003,FAC001,2023-03-12 03:00:00,Lubrication Failure,Major,6,3.45,122823.87,Resolved
FLR000202,MCH0243,LIN001,FAC001,2023-03-19 18:03:55,Overheating,Major,6,5.54,650815.91,Resolved
FLR000203,MCH0533,LIN017,FAC006,2023-01-14 12:55:36,Hydraulic Leak,Major,6,2.15,247837.37,Resolved
FLR000204,MCH0169,LIN003,FAC001,2023-10-06 22:46:19,Hydraulic Leak,Major,1,12.43,361789.56,Resolved
FLR000205,MCH0549,LIN013,FAC005,2024-01-12 22:26:36,Electrical Fault,Major,7,10.65,733297.97,Resolved
FLR000206,MCH0337,LIN028,FAC010,2025-10-22 19:33:43,Tool Wear,Major,4,11.89,1288887.49,Open
FLR000207,MCH0544,LIN003,FAC001,2024-05-04 23:52:31,Electrical Fault,Major,6,0.41,41855.27,Resolved
FLR000208,MCH0182,LIN025,FAC009,2023-07-09 18:32:29,Lubrication Failure,Minor,7,10.64,710925.83,Resolved
FLR000209,MCH0399,LIN028,FAC010,2026-04-06 10:32:26,Excessive Vibration,Major,4,1.11,46607.06,Resolved
FLR000210,MCH0561,LIN029,FAC010,2026-01-21 20:30:19,Excessive Vibration,Critical,7,17.63,854854.64,Resolved
FLR000211,MCH0122,LIN001,FAC001,2024-06-30 21:19:08,Excessive Vibration,Major,2,7.82,902010.0,Resolved
FLR000212,MCH0389,LIN002,FAC001,2024-07-14 21:17:03,Tool Wear,Major,2,7.89,296956.81,Resolved
FLR000213,MCH0013,LIN023,FAC008,2026-01-03 20:00:00,Lubrication Failure,Major,2,4.43,320629.78,Resolved
FLR000214,MCH0085,LIN020,FAC007,2023-09-05 02:23:55,Sensor Failure,Major,6,7.19,387270.53,Resolved
FLR000215,MCH0426,LIN009,FAC003,2025-04-29 13:53:27,Sensor Failure,Minor,4,7.42,725711.08,Resolved
FLR000216,MCH0314,LIN023,FAC008,2023-03-12 00:35:14,Excessive Vibration,Minor,4,3.75,148664.49,Resolved
FLR000217,MCH0133,LIN013,FAC005,2026-03-07 04:17:38,Overheating,Critical,4,18.37,1665634.76,Resolved
FLR000218,MCH0106,LIN018,FAC006,2023-01-09 19:12:26,Lubrication Failure,Critical,3,12.26,806715.39,Resolved
FLR000219,MCH0385,LIN006,FAC002,2025-02-15 09:35:06,Excessive Vibration,Minor,1,14.25,1488195.96,Resolved
FLR000220,MCH0454,LIN022,FAC008,2024-10-21 22:34:31,Excessive Vibration,Major,6,8.33,563966.42,Resolved
FLR000221,MCH0265,LIN011,FAC004,2023-11-25 17:09:25,Sensor Failure,Minor,2,35.4,3314505.67,Resolved
FLR000222,MCH0204,LIN002,FAC001,2023-11-30 21:19:23,Sensor Failure,Major,1,6.57,626116.19,Resolved
