downtime_event_id,machine_id,line_id,factory_id,linked_failure_event_id,linked_work_order_id,event_timestamp,downtime_cause,duration_hours,estimated_lost_units,estimated_loss_inr,resolution_status,impact_level
DTE000037,MCH0514,LIN029,FAC010,FLR000037,MWO000037,2024-07-01 13:23:14,Machine Breakdown,6.26,1307,644529.65,Resolved,Medium
DTE000038,MCH0119,LIN019,FAC007,FLR000038,MWO000038,2024-05-09 17:01:59,Machine Breakdown,10.12,485,95072.75,Resolved,High
DTE000039,MCH0465,LIN002,FAC001,FLR000039,MWO000039,2025-02-18 02:39:08,Machine Breakdown,12.56,840,525330.19,Resolved,Low
DTE000040,MCH0401,LIN015,FAC005,FLR000040,MWO000040,2024-07-01 04:31:27,Machine Breakdown,9.63,984,385758.87,Resolved,Medium
DTE000041,MCH0167,LIN020,FAC007,FLR000041,MWO000041,2024-04-07 15:59:58,Machine Breakdown,14.44,1689,1984548.99,Resolved,Low
DTE000042,MCH0370,LIN029,FAC010,FLR000042,MWO000042,2025-08-05 15:25:51,Machine Breakdown,13.46,2245,1749048.58,Resolved,Medium
DTE000043,MCH0009,LIN026,FAC009,FLR000043,MWO000043,2023-06-12 04:41:24,Machine Breakdown,10.04,1524,1265722.51,Resolved,Low
DTE000044,MCH0474,LIN003,FAC001,FLR000044,MWO000044,2024-07-22 07:06:04,Machine Breakdown,13.69,2446,2179072.96,Open,Critical
DTE000045,MCH0281,LIN027,FAC009,FLR000045,MWO000045,2024-11-06 15:48:55,Machine Breakdown,10.22,2080,806756.7,Resolved,Critical
DTE000046,MCH0095,LIN022,FAC008,FLR000046,MWO000046,2023-06-22 22:41:11,Machine Breakdown,20.1,2150,985414.93,Resolved,Medium
DTE000047,MCH0494,LIN001,FAC001,FLR000047,MWO000047,2025-10-07 01:37:12,Machine Breakdown,22.29,1958,1361468.21,Resolved,Critical
DTE000048,MCH0123,LIN019,FAC007,FLR000048,MWO000048,2025-03-01 13:44:50,Machine Breakdown,1.87,147,115262.4,Resolved,Medium
DTE000049,MCH0311,LIN023,FAC008,FLR000049,MWO000049,2024-12-29 01:43:30,Machine Breakdown,5.21,920,702331.02,Resolved,Medium
DTE000050,MCH0147,LIN028,FAC010,FLR000050,MWO000050,2026-05-22 14:53:33,Machine Breakdown,10.75,1875,1706199.29,Resolved,High
DTE000051,MCH0140,LIN013,FAC005,FLR000051,MWO000051,2025-08-11 07:42:01,Machine Breakdown,9.4,463,93867.91,Resolved,Medium
DTE000052,MCH0454,LIN022,FAC008,FLR000052,MWO000052,2023-04-11 08:36:43,Machine Breakdown,14.5,1572,1670345.39,Resolved,Medium
DTE000053,MCH0140,LIN013,FAC005,FLR000053,MWO000053,2026-01-20 09:09:40,Machine Breakdown,11.48,2033,1987277.18,Resolved,Low
DTE000054,MCH0569,LIN014,FAC005,FLR000054,MWO000054,2025-06-16 16:41:57,Machine Breakdown,3.02,538,207892.3,Open,High
DTE000055,MCH0407,LIN018,FAC006,FLR000055,MWO000055,2025-07-15 04:52:35,Machine Breakdown,19.61,4186,4702344.15,Resolved,High
DTE000056,MCH0500,LIN025,FAC009,FLR000056,MWO000056,2024-07-19 06:26:41,Machine Breakdown,5.27,1059,462145.41,Resolved,Critical
DTE000057,MCH0132,LIN018,FAC006,FLR000057,MWO000057,2023-12-08 09:59:40,Machine Breakdown,3.47,573,407393.75,Resolved,High
DTE000058,MCH0379,LIN027,FAC009,FLR000058,MWO000058,2026-03-10 02:52:22,Machine Breakdown,1.6,98,26927.98,Resolved,Medium
DTE000059,MCH0549,LIN013,FAC005,FLR000059,MWO000059,2024-01-19 03:23:51,Machine Breakdown,3.61,795,795102.79,Resolved,Medium
DTE000060,MCH0254,LIN013,FAC005,FLR000060,MWO000060,2023-05-27 07:52:21,Machine Breakdown,11.09,1297,1524728.99,Resolved,Medium
DTE000061,MCH0136,LIN019,FAC007,FLR000061,MWO000061,2024-02-06 00:05:08,Machine Breakdown,3.35,615,558696.33,Resolved,High
DTE000062,MCH0494,LIN001,FAC001,FLR000062,MWO000062,2026-05-14 10:37:35,Machine Breakdown,4.68,433,319138.98,Resolved,High
DTE000063,MCH0120,LIN007,FAC003,FLR000063,MWO000063,2023-10-21 20:50:27,Machine Breakdown,20.54,1905,862094.84,Resolved,Critical
DTE000064,MCH0235,LIN025,FAC009,FLR000064,MWO000064,2024-08-07 04:49:23,Machine Breakdown,13.11,2811,2399451.24,Resolved,Low
DTE000065,MCH0206,LIN007,FAC003,FLR000065,MWO000065,2024-05-29 15:01:35,Machine Breakdown,4.62,493,348105.27,Resolved,Critical
DTE000066,MCH0436,LIN013,FAC005,FLR000066,MWO000066,2023-06-18 20:28:42,Machine Breakdown,6.34,767,207205.73,Resolved,Low
DTE000067,MCH0114,LIN004,FAC002,FLR000067,MWO000067,2023-04-21 10:06:55,Machine Breakdown,0.89,161,187267.36,Resolved,High
DTE000068,MCH0086,LIN003,FAC001,FLR000068,MWO000068,2025-01-15 13:47:37,Machine Breakdown,16.37,1889,655371.81,Resolved,High
DTE000069,MCH0560,LIN024,FAC008,FLR000069,MWO000069,2025-11-25 18:15:49,Machine Breakdown,13.7,2356,2572402.98,Resolved,Critical
DTE000070,MCH0019,LIN029,FAC010,FLR000070,MWO000070,2025-09-08 03:42:02,Machine Breakdown,4.42,362,373274.29,Resolved,High
DTE000071,MCH0580,LIN007,FAC003,FLR000071,MWO000071,2023-11-10 11:53:45,Machine Breakdown,3.03,558,404642.91,Open,Medium
DTE000072,MCH0435,LIN027,FAC009,FLR000072,MWO000072,2025-08-14 03:32:51,Machine Breakdown,10.56,1777,2065228.35,Resolved,Medium
DTE000073,MCH0137,LIN006,FAC002,FLR000073,MWO000073,2023-06-24 17:39:04,Machine Breakdown,9.09,1050,498508.03,Resolved,Medium
DTE000074,MCH0031,LIN010,FAC004,FLR000074,MWO000074,2025-07-28 10:47:41,Machine Breakdown,4.98,229,60316.27,Resolved,Medium
DTE000075,MCH0396,LIN028,FAC010,FLR000075,MWO000075,2023-01-16 17:40:38,Machine Breakdown,9.13,1760,901042.72,Resolved,Medium
DTE000076,MCH0351,LIN021,FAC007,FLR000076,MWO000076,2023-07-10 06:22:24,Machine Breakdown,2.9,389,412491.64,Resolved,High
DTE000077,MCH0276,LIN012,FAC004,FLR000077,MWO000077,2023-06-12 16:51:41,Machine Breakdown,2.17,237,205245.26,Resolved,Medium
DTE000078,MCH0487,LIN023,FAC008,FLR000078,MWO000078,2026-04-21 00:39:08,Machine Breakdown,11.48,683,182657.07,Resolved,Critical
DTE000079,MCH0239,LIN015,FAC005,FLR000079,MWO000079,2026-02-10 22:26:45,Machine Breakdown,3.08,655,663824.19,Resolved,Medium
DTE000080,MCH0463,LIN018,FAC006,FLR000080,MWO000080,2023-04-15 05:54:27,Machine Breakdown,11.01,573,596131.1,Resolved,Low
DTE000081,MCH0229,LIN014,FAC005,FLR000081,MWO000081,2024-12-21 23:00:17,Machine Breakdown,5.2,1148,364345.89,Resolved,Medium
DTE000082,MCH0197,LIN001,FAC001,FLR000082,MWO000082,2024-09-25 15:11:25,Machine Breakdown,17.08,3714,3816051.16,Resolved,Critical
DTE000083,MCH0427,LIN027,FAC009,FLR000083,MWO000083,2024-07-07 23:06:30,Machine Breakdown,2.62,525,319270.65,Resolved,Medium
DTE000084,MCH0090,LIN018,FAC006,FLR000084,MWO000084,2026-05-06 13:42:46,Machine Breakdown,4.22,485,576318.89,Resolved,Medium
DTE000085,MCH0133,LIN013,FAC005,FLR000085,MWO000085,2023-10-31 06:14:57,Machine Breakdown,7.68,999,639245.57,Resolved,Medium
DTE000086,MCH0125,LIN008,FAC003,FLR000086,MWO000086,2025-05-06 15:01:06,Machine Breakdown,13.71,1782,1603216.14,Resolved,Medium
DTE000087,MCH0037,LIN022,FAC008,FLR000087,MWO000087,2026-03-07 02:16:59,Machine Breakdown,11.46,2648,1237184.24,Resolved,Medium
DTE000088,MCH0426,LIN009,FAC003,FLR000088,MWO000088,2026-02-22 05:20:11,Machine Breakdown,7.08,1228,736093.21,Resolved,Critical
DTE000089,MCH0257,LIN013,FAC005,FLR000089,MWO000089,2024-01-30 20:24:24,Machine Breakdown,19.31,2488,899168.89,Resolved,Medium
DTE000090,MCH0391,LIN007,FAC003,FLR000090,MWO000090,2023-02-05 12:25:53,Machine Breakdown,3.45,771,355818.96,Resolved,Medium
DTE000091,MCH0440,LIN027,FAC009,FLR000091,MWO000091,2025-08-12 02:25:48,Machine Breakdown,2.69,499,460509.91,Resolved,Medium
DTE000092,MCH0598,LIN029,FAC010,FLR000092,MWO000092,2025-01-20 11:58:04,Machine Breakdown,14.71,3239,540884.08,Resolved,High
DTE000093,MCH0415,LIN008,FAC003,FLR000093,MWO000093,2025-04-01 11:50:31,Machine Breakdown,1.59,166,154128.47,Resolved,Medium
DTE000094,MCH0534,LIN027,FAC009,FLR000094,MWO000094,2023-01-29 04:19:31,Machine Breakdown,4.05,424,245479.92,Resolved,Medium
DTE000095,MCH0403,LIN002,FAC001,FLR000095,MWO000095,2025-11-17 10:14:25,Machine Breakdown,19.53,3149,1898157.27,Open,High
DTE000096,MCH0476,LIN023,FAC008,FLR000096,MWO000096,2023-04-12 10:25:09,Machine Breakdown,2.4,451,251002.61,Resolved,Medium
DTE000097,MCH0515,LIN012,FAC004,FLR000097,MWO000097,2023-04-26 17:52:51,Machine Breakdown,13.36,2704,2365583.49,Resolved,Critical
DTE000098,MCH0092,LIN005,FAC002,FLR000098,MWO000098,2026-02-12 02:11:39,Machine Breakdown,5.54,369,373121.67,Resolved,Medium
DTE000099,MCH0325,LIN011,FAC004,FLR000099,MWO000099,2025-10-16 14:42:00,Machine Breakdown,1.05,159,44312.71,Resolved,Medium
DTE000100,MCH0250,LIN007,FAC003,FLR000100,MWO000100,2024-04-18 16:14:53,Machine Breakdown,17.81,1877,2044095.56,Resolved,Medium
DTE000101,MCH0080,LIN020,FAC007,FLR000101,MWO000101,2024-08-07 16:26:07,Machine Breakdown,2.1,438,123545.17,Resolved,High
DTE000102,MCH0380,LIN003,FAC001,FLR000102,MWO000102,2025-03-23 08:10:44,Machine Breakdown,8.1,1551,1384189.51,Open,High
DTE000103,MCH0359,LIN019,FAC007,FLR000103,MWO000103,2023-04-08 11:26:40,Machine Breakdown,3.71,520,510526.13,Resolved,Low
DTE000104,MCH0394,LIN001,FAC001,FLR000104,MWO000104,2024-04-19 17:26:52,Machine Breakdown,4.57,224,190801.62,Resolved,High
DTE000105,MCH0115,LIN002,FAC001,FLR000105,MWO000105,2024-02-29 21:49:36,Machine Breakdown,4.85,343,143861.82,Resolved,High
DTE000106,MCH0349,LIN024,FAC008,FLR000106,MWO000106,2024-01-13 21:10:02,Machine Breakdown,21.1,2608,2608553.22,Resolved,High
DTE000107,MCH0585,LIN026,FAC009,FLR000107,MWO000107,2026-01-16 06:33:39,Machine Breakdown,8.34,478,526601.31,Resolved,Medium
DTE000108,MCH0600,LIN014,FAC005,FLR000108,MWO000108,2025-07-19 13:46:39,Machine Breakdown,3.81,275,231079.59,Resolved,Critical
DTE000109,MCH0164,LIN029,FAC010,FLR000109,MWO000109,2023-07-28 22:56:28,Machine Breakdown,4.3,573,412166.17,Resolved,High
DTE000110,MCH0155,LIN022,FAC008,FLR000110,MWO000110,2026-04-18 03:54:35,Machine Breakdown,38.33,4097,2028531.56,Resolved,Critical
DTE000111,MCH0035,LIN005,FAC002,FLR000111,MWO000111,2023-02-13 18:32:19,Machine Breakdown,0.74,85,58752.3,Resolved,High
DTE000112,MCH0127,LIN004,FAC002,FLR000112,MWO000112,2025-08-22 17:51:02,Machine Breakdown,6.57,687,179814.61,Resolved,Medium
DTE000113,MCH0556,LIN013,FAC005,FLR000113,MWO000113,2025-11-26 04:49:24,Machine Breakdown,2.39,142,161463.72,Resolved,Medium
DTE000114,MCH0160,LIN018,FAC006,FLR000114,MWO000114,2025-02-07 04:01:56,Machine Breakdown,4.77,1071,363501.77,Resolved,Low
DTE000115,MCH0101,LIN022,FAC008,FLR000115,MWO000115,2026-03-06 04:26:14,Machine Breakdown,16.19,3070,3205088.17,Resolved,High
DTE000116,MCH0366,LIN019,FAC007,FLR000116,MWO000116,2024-12-25 05:02:12,Machine Breakdown,12.53,1136,176906.62,Resolved,Medium
DTE000117,MCH0025,LIN017,FAC006,FLR000117,MWO000117,2025-03-12 04:43:43,Machine Breakdown,2.74,525,261614.15,Resolved,High
DTE000118,MCH0269,LIN002,FAC001,FLR000118,MWO000118,2023-06-19 23:38:34,Machine Breakdown,8.02,469,175126.17,Resolved,Medium
DTE000119,MCH0014,LIN029,FAC010,FLR000119,MWO000119,2025-05-17 08:07:03,Machine Breakdown,6.58,1094,1031535.34,Resolved,Medium
DTE000120,MCH0392,LIN005,FAC002,FLR000120,MWO000120,2023-01-28 14:04:42,Machine Breakdown,3.81,810,626547.04,Resolved,High
DTE000121,MCH0292,LIN015,FAC005,FLR000121,MWO000121,2023-01-18 02:21:05,Machine Breakdown,1.7,260,188998.1,Resolved,High
DTE000122,MCH0265,LIN011,FAC004,FLR000122,MWO000122,2023-02-13 11:27:24,Machine Breakdown,2.71,642,486662.09,Resolved,High
DTE000123,MCH0320,LIN011,FAC004,FLR000123,MWO000123,2025-02-25 22:24:08,Machine Breakdown,6.6,1539,1079369.26,Resolved,Low
DTE000124,MCH0299,LIN014,FAC005,FLR000124,MWO000124,2024-03-22 08:00:25,Machine Breakdown,18.47,3128,2307658.77,Resolved,Medium
DTE000125,MCH0555,LIN021,FAC007,FLR000125,MWO000125,2023-08-27 16:03:56,Machine Breakdown,9.66,1259,1236069.5,Resolved,Medium
DTE000126,MCH0086,LIN003,FAC001,FLR000126,MWO000126,2023-09-09 04:43:01,Machine Breakdown,3.52,553,241289.58,Resolved,High
DTE000127,MCH0028,LIN004,FAC002,FLR000127,MWO000127,2026-04-23 00:47:34,Machine Breakdown,3.56,353,105785.53,Resolved,High
DTE000128,MCH0088,LIN015,FAC005,FLR000128,MWO000128,2025-10-14 05:42:30,Machine Breakdown,5.31,831,455233.25,Resolved,High
DTE000129,MCH0422,LIN002,FAC001,FLR000129,MWO000129,2026-02-27 04:29:57,Machine Breakdown,6.7,962,164079.6,Resolved,High
DTE000130,MCH0114,LIN004,FAC002,FLR000130,MWO000130,2023-09-22 07:11:59,Machine Breakdown,13.97,1896,1484167.74,Resolved,High
DTE000131,MCH0479,LIN007,FAC003,FLR000131,MWO000131,2024-03-02 10:11:24,Machine Breakdown,7.27,530,256642.05,Resolved,High
DTE000132,MCH0509,LIN021,FAC007,FLR000132,MWO000132,2025-06-07 16:59:27,Machine Breakdown,12.99,1833,1185140.46,Resolved,Medium
DTE000133,MCH0527,LIN027,FAC009,FLR000133,MWO000133,2024-11-28 01:19:08,Machine Breakdown,16.32,989,931758.4,Resolved,Medium
DTE000134,MCH0426,LIN009,FAC003,FLR000134,MWO000134,2026-02-24 12:13:55,Machine Breakdown,8.53,1395,1217091.17,Resolved,Medium
DTE000135,MCH0496,LIN024,FAC008,FLR000135,MWO000135,2023-03-17 09:29:32,Machine Breakdown,3.02,501,155794.57,Open,Critical
DTE000136,MCH0537,LIN013,FAC005,FLR000136,MWO000136,2024-03-19 04:40:07,Machine Breakdown,3.5,417,360930.72,Resolved,Critical
DTE000137,MCH0315,LIN015,FAC005,FLR000137,MWO000137,2024-02-20 04:45:21,Machine Breakdown,7.52,1001,504889.27,Resolved,Low
DTE000138,MCH0226,LIN027,FAC009,FLR000138,MWO000138,2023-01-28 09:33:09,Machine Breakdown,16.11,3399,3133939.17,Open,Medium
DTE000139,MCH0305,LIN003,FAC001,FLR000139,MWO000139,2026-04-07 13:58:17,Machine Breakdown,10.62,1331,496991.34,Resolved,Medium
DTE000140,MCH0552,LIN012,FAC004,FLR000140,MWO000140,2024-07-07 18:45:44,Machine Breakdown,18.23,3388,1016166.88,Resolved,High
DTE000141,MCH0592,LIN023,FAC008,FLR000141,MWO000141,2025-07-25 19:08:22,Machine Breakdown,7.7,1192,513640.22,Open,Low
DTE000142,MCH0575,LIN008,FAC003,FLR000142,MWO000142,2024-01-02 15:14:55,Machine Breakdown,5.68,882,300832.98,Resolved,Low
DTE000143,MCH0528,LIN005,FAC002,FLR000143,MWO000143,2024-06-29 15:31:33,Machine Breakdown,10.02,1492,978873.11,Resolved,Medium
DTE000144,MCH0506,LIN001,FAC001,FLR000144,MWO000144,2024-02-05 22:13:46,Machine Breakdown,10.92,1158,974242.89,Resolved,Low
DTE000145,MCH0581,LIN004,FAC002,FLR000145,MWO000145,2023-09-06 17:07:36,Machine Breakdown,11.32,729,201283.56,Resolved,Medium
DTE000146,MCH0550,LIN019,FAC007,FLR000146,MWO000146,2025-03-30 01:45:01,Machine Breakdown,24.47,1709,1746154.93,Resolved,Medium
DTE000147,MCH0020,LIN001,FAC001,FLR000147,MWO000147,2025-01-27 00:18:10,Machine Breakdown,7.29,1409,733944.03,Resolved,Low
DTE000148,MCH0028,LIN004,FAC002,FLR000148,MWO000148,2026-02-01 10:39:54,Machine Breakdown,6.37,1244,777562.72,Resolved,High
DTE000149,MCH0539,LIN017,FAC006,FLR000149,MWO000149,2023-04-08 22:07:24,Machine Breakdown,2.8,539,81461.62,Resolved,High
DTE000150,MCH0181,LIN020,FAC007,FLR000150,MWO000150,2024-07-20 23:08:31,Machine Breakdown,3.98,472,300886.62,Resolved,Critical
DTE000151,MCH0259,LIN026,FAC009,FLR000151,MWO000151,2023-11-11 19:03:13,Machine Breakdown,3.94,861,857573.96,Resolved,Medium
DTE000152,MCH0599,LIN003,FAC001,FLR000152,MWO000152,2023-02-08 21:21:35,Machine Breakdown,14.94,1475,327240.48,Resolved,Low
DTE000153,MCH0068,LIN009,FAC003,FLR000153,MWO000153,2023-01-08 00:27:40,Machine Breakdown,5.09,665,431240.66,Resolved,Medium
DTE000154,MCH0423,LIN009,FAC003,FLR000154,MWO000154,2024-09-15 20:11:48,Machine Breakdown,1.74,294,190845.69,Resolved,Medium
DTE000155,MCH0043,LIN023,FAC008,FLR000155,MWO000155,2025-08-15 01:05:14,Machine Breakdown,5.74,1014,636285.98,Resolved,Critical
DTE000156,MCH0594,LIN016,FAC006,FLR000156,MWO000156,2026-05-02 12:26:47,Machine Breakdown,8.98,1690,1565833.11,Resolved,High
DTE000157,MCH0300,LIN002,FAC001,FLR000157,MWO000157,2024-06-25 09:00:41,Machine Breakdown,0.93,168,107068.99,Resolved,Low
DTE000158,MCH0018,LIN026,FAC009,FLR000158,MWO000158,2024-06-23 07:59:36,Machine Breakdown,5.3,951,1060426.17,Resolved,Medium
DTE000159,MCH0498,LIN011,FAC004,FLR000159,MWO000159,2024-10-24 04:01:26,Machine Breakdown,16.41,659,575676.48,Resolved,Medium
DTE000160,MCH0198,LIN003,FAC001,FLR000160,MWO000160,2024-04-23 09:46:56,Machine Breakdown,6.13,1445,232106.29,Resolved,Low
DTE000161,MCH0180,LIN011,FAC004,FLR000161,MWO000161,2024-02-18 02:20:38,Machine Breakdown,10.27,419,257422.32,Resolved,Medium
DTE000162,MCH0041,LIN011,FAC004,FLR000162,MWO000162,2025-04-03 09:38:53,Machine Breakdown,5.08,968,547165.51,Resolved,Medium
DTE000163,MCH0363,LIN017,FAC006,FLR000163,MWO000163,2023-03-06 15:33:38,Machine Breakdown,4.45,677,753429.68,Resolved,High
DTE000164,MCH0114,LIN004,FAC002,FLR000164,MWO000164,2023-12-31 13:04:21,Machine Breakdown,14.91,2214,2241160.16,Resolved,Medium
DTE000165,MCH0176,LIN008,FAC003,FLR000165,MWO000165,2025-01-03 16:01:53,Machine Breakdown,6.72,527,329307.75,Open,High
DTE000166,MCH0287,LIN017,FAC006,FLR000166,MWO000166,2024-07-16 00:36:33,Machine Breakdown,13.87,810,339146.57,Resolved,High
DTE000167,MCH0279,LIN001,FAC001,FLR000167,MWO000167,2023-12-29 12:43:47,Machine Breakdown,8.14,1352,421654.05,Resolved,Critical
DTE000168,MCH0334,LIN018,FAC006,FLR000168,MWO000168,2024-02-27 12:49:04,Machine Breakdown,2.03,230,212870.15,Resolved,Medium
DTE000169,MCH0444,LIN012,FAC004,FLR000169,MWO000169,2023-10-04 17:03:27,Machine Breakdown,12.1,1102,637106.36,Resolved,Critical
DTE000170,MCH0275,LIN008,FAC003,FLR000170,MWO000170,2023-12-28 18:43:23,Machine Breakdown,4.64,253,83655.47,Resolved,High
DTE000171,MCH0561,LIN029,FAC010,FLR000171,MWO000171,2024-10-14 22:29:27,Machine Breakdown,8.94,1594,532074.33,Resolved,Medium
DTE000172,MCH0140,LIN013,FAC005,FLR000172,MWO000172,2025-08-02 07:03:24,Machine Breakdown,3.27,321,117917.71,Resolved,Medium
DTE000173,MCH0019,LIN029,FAC010,FLR000173,MWO000173,2025-10-20 21:15:16,Machine Breakdown,1.47,67,19756.07,Resolved,Medium
DTE000174,MCH0239,LIN015,FAC005,FLR000174,MWO000174,2025-08-05 01:23:24,Machine Breakdown,1.53,92,58013.32,Resolved,High
DTE000175,MCH0416,LIN002,FAC001,FLR000175,MWO000175,2026-05-21 03:00:23,Machine Breakdown,11.37,2640,1400943.87,Resolved,Critical
DTE000176,MCH0517,LIN005,FAC002,FLR000176,MWO000176,2023-03-28 04:36:02,Machine Breakdown,2.74,262,301392.9,Resolved,Medium
DTE000177,MCH0329,LIN014,FAC005,FLR000177,MWO000177,2025-08-14 19:05:07,Machine Breakdown,8.27,1976,2348561.92,Resolved,Critical
DTE000178,MCH0200,LIN004,FAC002,FLR000178,MWO000178,2023-01-11 19:23:35,Machine Breakdown,14.81,2585,2693463.66,Resolved,Low
DTE000179,MCH0314,LIN023,FAC008,FLR000179,MWO000179,2023-11-06 16:23:29,Machine Breakdown,7.49,1790,1653368.7,Resolved,High
DTE000180,MCH0288,LIN014,FAC005,FLR000180,MWO000180,2023-01-13 01:17:50,Machine Breakdown,4.53,567,352664.69,Resolved,Low
DTE000181,MCH0133,LIN013,FAC005,FLR000181,MWO000181,2025-09-21 16:03:43,Machine Breakdown,0.61,70,41008.31,Resolved,High
DTE000182,MCH0479,LIN007,FAC003,FLR000182,MWO000182,2024-08-23 10:43:13,Machine Breakdown,1.15,243,282504.61,Resolved,High
